date,Close,High,Low,Open,Volume,Sentiment_mean,Sentiment_sum,Sentiment_count,Sentiment_count-3,Sentiment_sum-3,Sentiment_mean-3
2010-02-04,7.943452835083008,8.123644411269716,7.9321905930647105,8.037302703849129,21101000.0,0.1405309857800603,0.1405309857800603,1.0,,,
2010-02-05,7.950958728790283,8.018530729592973,7.883386727987594,7.939696489984011,15802000.0,0.0,0.0,0.0,,,
2010-02-06,,,,,,0.0,0.0,0.0,1.0,0.1405309857800603,0.1405309857800603
2010-02-07,,,,,,0.0,0.0,0.0,0.0,0.0,
2010-02-08,7.932190418243408,7.999762436828591,7.864619115675884,7.947206740603519,12450600.0,0.0,0.0,0.0,0.0,0.0,
2010-02-09,8.022285461425781,8.037301065037477,7.962220898926412,8.03354698513017,10143600.0,0.0,0.0,0.0,0.0,0.0,
2010-02-10,8.005314826965332,8.06941770782662,7.986461334623919,8.024169038521377,9254800.0,0.0,0.0,0.0,0.0,0.0,
2010-02-11,8.084505081176758,8.107129427034797,7.963840944313894,7.978923601814258,11000000.0,0.0,0.0,0.0,0.0,0.0,
2010-02-12,8.054335594177246,8.095813423933508,8.016627887768633,8.043023066490258,9158200.0,0.0,0.0,0.0,0.0,0.0,
2010-02-13,,,,,,0.0,0.0,0.0,0.0,0.0,
2010-02-14,,,,,,0.0,0.0,0.0,0.0,0.0,
2010-02-15,,,,,,0.0,0.0,0.0,0.0,0.0,
2010-02-16,8.137293815612793,8.148606345861529,8.046795731267437,8.10335694408143,8427600.0,0.0,0.0,0.0,0.0,0.0,
2010-02-17,8.193853378295898,8.280580601759322,8.15614567094211,8.186311692982201,13549800.0,0.0,0.0,0.0,0.0,0.0,
2010-02-18,8.29566764831543,8.318291995066994,8.129754093968916,8.148608315607733,12215600.0,0.0,0.0,0.0,0.0,0.0,
2010-02-19,8.329602241516113,8.352226582057138,8.246645846722476,8.25795765738558,10295800.0,0.0,0.0,0.0,0.0,0.0,
2010-02-20,,,,,,0.0,0.0,0.0,0.0,0.0,
2010-02-21,,,,,,0.0,0.0,0.0,0.0,0.0,
2010-02-22,8.333372116088867,8.397475006182425,8.295664406760645,8.325830430380275,9430400.0,0.0,0.0,0.0,0.0,0.0,
2010-02-23,8.178770065307617,8.340912690363004,8.156145011196653,8.310746670763022,13706600.0,0.0,0.0,0.0,0.0,0.0,
2010-02-24,8.254188537597656,8.265501069837676,8.129753559817313,8.186314782587475,9683800.0,0.0,0.0,0.0,0.0,0.0,
2010-02-25,8.41256046295166,8.45403902896224,8.031713838278531,8.137295315753201,26174800.0,0.0,0.0,0.0,0.0,0.0,
2010-02-26,8.333372116088867,8.442723682004505,8.333372116088867,8.389933320473833,17161800.0,0.0,0.0,0.0,0.0,0.0,
2010-02-27,,,,,,0.0,0.0,0.0,0.0,0.0,
2010-02-28,,,,,,0.0,0.0,0.0,0.0,0.0,
2010-03-01,8.450265884399414,8.472890223693806,8.303206600163705,8.363538651091934,13523400.0,0.0,0.0,0.0,0.0,0.0,
2010-03-02,8.552075386047363,8.60486574399109,8.461577321337538,8.472889129917087,18667000.0,0.0,0.0,0.0,0.0,0.0,
2010-03-03,8.495515823364258,8.529452694075,8.31074881572512,8.337143999785736,23363000.0,0.0,0.0,0.0,0.0,0.0,
2010-03-04,8.555846214294434,8.56715802285501,8.469118273113473,8.506825979816323,8489800.0,0.0,0.0,0.0,0.0,0.0,
2010-03-05,8.574702262878418,8.612409980816315,8.461579828279625,8.559619607232198,11277000.0,-0.005874060094356537,-0.005874060094356537,1.0,1.0,-0.005874060094356537,-0.005874060094356537
2010-03-06,,,,,,0.0,0.0,0.0,1.0,-0.005874060094356537,-0.005874060094356537
2010-03-07,,,,,,0.0,0.0,0.0,1.0,-0.005874060094356537,-0.005874060094356537
